try_id,cand_id,sigma,g_n,i,delta,kappa_min,kappa_max,kappa_star,r_star,d_star,omega_star,rF,psi,phi2,lambda_star,f_star,Z_star,phi1_fixed,e_implied,phi1_calib_ok,phi1_calib_reason,econ_ok,reason,omega_gap,lam_mid,e_gap
564,14,2.5,0.08,0.035,0.06,0.02,0.45,0.35000000000000003,0.13979741561574782,0.00633076200788132,0.6502848842903546,0.095,20,3,0.7101161684485132,4.280697745573784,0.9999999886747158,3.2341625859029595,0.9399651023343334,TRUE,ok,TRUE,ok,2.84884290354559e-4,0.21011616844851322,3.489766566655561e-5
537,9,2.5,0.08,0.025,0.05,0.02,0.45,0.325,0.12973326797683704,0.0083353757238426,0.6754584456648113,0.045,15,2,0.7809137156371934,5.780284730751188,0.9999999999999314,2.1703165919519964,0.9399550312450378,TRUE,ok,TRUE,ok,0.025458445664811258,0.28091371563719336,4.4968754962182445e-05
540,10,2.5,0.08,0.025,0.06,0.02,0.45,0.35000000000000003,0.13979741561574782,0.00633076200788132,0.6503481919104335,0.12,20,2,0.597713810544686,2.5963744276532497,0.9920107853584593,2.15307977006305,0.940058793389549,TRUE,ok,TRUE,ok,3.4819191043344855e-4,0.09771381054468598,5.8793389549061104e-5
504,6,2.5,0.07,0.03,0.06,0.02,0.45,0.325,0.12973326797683704,0.00952614368439154,0.6753810457473757,0.08249999999999999,15,0.5,0.6700694132326794,3.7640079561559263,0.9999993111714858,0.5744224087800831,0.9400741463630489,TRUE,ok,TRUE,ok,0.025381045747375652,0.17006941323267943,7.414636304892142e-5
528,8,2.5,0.07,0.04,0.06,0.02,0.45,0.325,0.12973326797683704,0.00952614368439154,0.6752857843105318,0.095,5,2.5,0.5433077927350514,2.2048327500460445,0.8474670278544465,2.296675551705994,0.9399096742387649,TRUE,ok,TRUE,ok,0.025285784310531745,0.043307792735051365,9.032576123502167e-5
564,14,2.5,0.08,0.035,0.06,0.02,0.45,0.35000000000000003,0.13979741561574782,0.00633076200788132,0.6502848842903546,0.06999999999999999,10,1.5,0.6677384635732664,3.5118461392896143,0.9999946873539005,1.6384881982114168,0.9398859465157668,TRUE,ok,TRUE,ok,2.84884290354559e-4,0.16773846357326638,1.1405348423310091e-4
516,7,2.5,0.07,0.035,0.06,0.02,0.45,0.325,0.12973326797683704,0.00952614368439154,0.6753334150289537,0.12,20,0.5,0.5485132374012405,2.251621617147056,0.8898472800684483,0.515943465102464,0.939877472695425,TRUE,ok,TRUE,ok,0.0253334150289537,0.04851323740124047,1.2252730457495975e-4
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6851339866580604,0.1075,15,2.5,0.5881385070380923,2.3428438606061395,0.9918261150087548,2.679913431988098,0.9401666701049906,TRUE,ok,TRUE,ok,0.035133986658060334,0.08813850703809234,1.666701049906072e-4
504,6,2.5,0.07,0.03,0.06,0.02,0.45,0.325,0.12973326797683704,0.00952614368439154,0.6753810457473757,0.06999999999999999,15,2,0.7101266065033779,4.540260255776517,0.9999999986160044,2.1698098060209308,0.9401745680986798,TRUE,ok,TRUE,ok,0.025381045747375652,0.2101266065033779,1.7456809867988365e-4
504,6,2.5,0.07,0.03,0.06,0.02,0.45,0.325,0.12973326797683704,0.00952614368439154,0.6753810457473757,0.02,5,0.5,0.6338261163540191,3.208012721986034,0.9999411412343227,0.5743272430961952,0.9401792742865249,TRUE,ok,TRUE,ok,0.025381045747375652,0.1338261163540191,1.7927428652497746e-4
